,make,model,seats
0,abarth,124 spider,2
3,abarth,595,4
58,abarth,695,2
60,abarth,695,4
71,abarth,500,4
73,abarth,500c,4
75,abarth,grande punto,4
76,abarth,punto evo,4
78,ac,302 and 212,2
79,ac,mamba,2
83,aixam,400 & 500,2
84,aixam,400 & 500,4
100,aixam,a751,4
105,aixam,a751,2
106,aixam,ccity,2
107,aixam,ccity,4
108,aixam,crossline,4
113,aixam,crossover,4
115,aixam,roadline,4
117,alfa romeo,4c,2
119,alfa romeo,giulia,5
128,alfa romeo,giulia,4
152,alfa romeo,giulietta,5
255,alfa romeo,stelvio,5
294,alfa romeo,145,5
301,alfa romeo,146,5
308,alfa romeo,147,5
389,alfa romeo,155,5
395,alfa romeo,156,5
564,alfa romeo,159,5
696,alfa romeo,164,5
717,alfa romeo,166,5
740,alfa romeo,brera,4
764,alfa romeo,gt,5
783,alfa romeo,gtv,4
784,alfa romeo,gtv,2
791,alfa romeo,mito,4
818,alfa romeo,mito,5
861,alfa romeo,spider,2
879,alfa romeo,spider,4
887,asia,rocsta,4
889,aston martin,db11,4
894,aston martin,dbs superleggera,2
896,aston martin,dbx,5
897,aston martin,rapide,4
903,aston martin,vanquish,2
904,aston martin,vanquish,4
920,aston martin,vantage,2
925,aston martin,cygnet,4
927,aston martin,db7,4
945,aston martin,db9,4
960,aston martin,dbs,2
964,aston martin,v8,4
1007,aston martin,vantage,5
1009,aston martin,virage,4
1011,aston martin,virage,5
1013,audi,a1,5
1078,audi,a3,5
1080,audi,a3,6
1125,audi,a3,4
1285,audi,a4,5
1813,audi,a5,4
2078,audi,a5,5
2247,audi,a6,5
2345,audi,a6,4
2360,audi,a7,5
2429,audi,a8,5
2471,audi,q2,5
2544,nan,nan,nan
2576,audi,q3,5
2704,audi,q5,5
2760,audi,q7,5
2762,audi,q7,7
2810,audi,q8,5
2833,audi,r8,2
2855,audi,tt,4
2945,audi,tt,2
3035,audi,a1,4
3203,audi,a2,4
5126,audi,a4,4
7020,audi,a7,4
7232,audi,cabriolet,4
7648,bentley,bentayga,5
7654,bentley,bentayga,4
7655,bentley,bentayga,7
7689,bentley,continental gt,4
7723,bentley,flying spur,5
7728,bentley,mulsanne,5
7736,bentley,arnage,4
7744,bentley,arnage,5
7746,bentley,azure/continental,4
7759,bentley,brooklands,5
7760,bentley,brooklands,4
7762,bentley,continental flying spur,5
7794,bentley,continental gt,2
7810,bentley,turbo r,4
7812,bmw,i3,4
7855,bmw,i8,4
7862,bmw,i8,2
7863,bmw,x1,5
7976,bmw,x2,5
8031,bmw,x3,5
8076,bmw,x4,5
8118,bmw,x5,5
8119,bmw,x5,7
8176,bmw,x6,5
8202,bmw,x7,7
8203,bmw,x7,6
8229,bmw,z4,2
8250,bmw,alpina,5
8269,bmw,alpina,4
8280,bmw,alpina,2
8667,bmw,x6,4
8698,bmw,z3,2
8812,bmw,z8,2
8813,bmw alpina,b3,5
8819,bmw alpina,b4,4
8824,bmw alpina,b5,5
8828,bmw alpina,b7,5
8830,bmw alpina,b7,4
8831,bmw alpina,d3,5
8837,bmw alpina,d5,5
8839,bmw alpina,xb7,7
8840,bmw alpina,xb7,6
8841,bmw alpina,xd3,5
8845,bmw alpina,b6,4
8848,bmw alpina,d4,4
8853,bristol,blenheim,5
8854,bristol,blenheim,4
8856,bristol,blenheim,2
8857,bristol,fighter,2
8860,cadillac,bls,5
8896,cadillac,cts,5
8901,cadillac,escalade,7
8904,cadillac,seville,5
8905,cadillac,srx,7
8909,cadillac,sts,5
8911,cadillac,xlr,2
8912,caterham,super seven,2
8961,chevrolet,aveo,5
8979,chevrolet,blazer,5
8982,chevrolet,camaro,4
8998,chevrolet,captiva,5
9005,chevrolet,captiva,7
9020,chevrolet,corvette,2
9024,chevrolet,cruze,5
9084,chevrolet,epica,5
9088,chevrolet,kalos,5
9099,chevrolet,lacetti,5
9112,chevrolet,matiz,5
9122,chevrolet,orlando,7
9139,chevrolet,spark,5
9148,chevrolet,tacuma,5
9153,chevrolet,trax,5
9160,chevrolet,volt,4
9162,chrysler,300c,5
9178,chrysler,crossfire,2
9184,chrysler,delta,5
9198,chrysler,dodge viper,2
9199,chrysler,grand voyager,7
9226,chrysler,neon,5
9241,chrysler,pt cruiser,5
9276,chrysler,pt cruiser,4
9282,chrysler,sebring,5
9285,chrysler,sebring,4
9288,chrysler,voyager,7
9305,chrysler,voyager,5
9312,chrysler,ypsilon,5
9336,citroën,berlingo,5
9337,citroën,berlingo,7
9359,citroën,c1,4
9406,citroën,c3,5
9450,citroën,c3 aircross,5
9471,citroën,c4 cactus,5
9486,citroën,c4 spacetourer,5
9511,citroën,c5,5
9528,citroën,dispatch combi,9
9541,citroën,grand c4 spacetourer,7
9578,citroën,spacetourer,5
9579,citroën,spacetourer,8
9601,citroën,spacetourer,6
9608,citroën,spacetourer,9
9637,citroën,spacetourer,7
9665,citroën,ax,5
9703,citroën,berlingo multispace,5
9714,citroën,berlingo multispace,7
9783,citroën,c2,4
9943,citroën,c3,4
9962,citroën,c3 picasso,5
9999,citroën,c3 pluriel,4
10013,citroën,c3 xtr,5
10016,citroën,c4,5
10186,citroën,c4 picasso,5
10291,citroën,c4 picasso,4
10498,citroën,c6,5
10510,citroën,c8,7
10532,citroën,c8,6
10547,citroën,dispatch combi,6
10564,citroën,ds3,5
10655,citroën,ds4,5
10684,citroën,ds5,5
10714,citroën,grand c4 picasso,7
10824,citroën,nemo multispace,5
10830,citroën,saxo,5
10897,citroën,synergie,6
10898,citroën,synergie,7
10899,citroën,synergie,5
10917,citroën,synergie,8
10932,citroën,xantia,5
11085,citroën,xm,5
11099,citroën,xsara,5
11196,citroën,xsara picasso,5
11223,citroën,zx,5
11292,coleman milne,hearse,5
11296,coleman milne,limousine,5
11302,corvette,c6,2
11315,corvette,stingray,2
11317,cupra,ateca,5
11325,cupra,leon,5
11335,dacia,duster,5
11370,dacia,logan,5
11416,dacia,sandero,5
11524,daewoo,espero,5
11532,daewoo,kalos,5
11542,daewoo,korando,5
11545,daewoo,lacetti,5
11548,daewoo,lanos,5
11578,daewoo,leganza,5
11592,daewoo,matiz,5
11611,daewoo,musso,5
11617,daewoo,nexia,5
11635,daewoo,nubira,5
11660,daewoo,tacuma,5
11668,daihatsu,applause,5
11670,daihatsu,charade,5
11694,daihatsu,copen,2
11697,daihatsu,cuore,5
11711,daihatsu,fourtrak,7
11725,daihatsu,grand move,5
11733,daihatsu,materia,5
11735,daihatsu,mira,4
11736,daihatsu,move,5
11740,daihatsu,sirion,5
11776,daihatsu,sportrak,4
11785,daihatsu,terios,5
11810,daihatsu,yrv,5
11819,daimler,saloon,5
11824,daimler,saloon,4
11833,daimler,super eight,5
11834,de tomaso,guara,2
11836,dfsk,glory,7
11837,dodge,avenger,5
11842,dodge,caliber,5
11851,dodge,journey,7
11858,dodge,nitro,5
11862,dodge,ram,6
11864,ds,3,5
11924,ds,3 crossback,5
11939,ds,7 crossback,5
11998,ds,4,5
12042,ds,5,5
12057,eagle,hearse,5
12058,eagle,hearse,2
12059,eagle,hearse,4
12063,eagle,limousine,8
12073,farbio,gts,2
12076,fbs,census,2
12077,ferrari,488,2
12079,ferrari,812 superfast,2
12080,ferrari,gtc4lusso,4
12082,ferrari,portofino,4
12083,ferrari,360,2
12088,ferrari,456,2
12092,ferrari,458,2
12097,ferrari,550,2
12098,ferrari,575,2
12102,ferrari,599 gtb,2
12104,ferrari,612,4
12106,ferrari,california,4
12108,ferrari,california t,2
12110,ferrari,enzo,2
12111,ferrari,f12berlinetta,2
12113,ferrari,f355,2
12119,ferrari,f430,2
12124,ferrari,f512,2
12125,ferrari,ff,4
12127,fiat,124 spider,2
12133,fiat,500,4
12438,fiat,500 electric,4
12445,fiat,500l,5
12506,fiat,500x,5
12581,fiat,doblo,5
12583,fiat,doblo,7
12793,fiat,fiorino,5
12828,fiat,panda,4
12841,fiat,panda,5
12867,fiat,qubo,5
12896,fiat,tipo,5
12946,fiat,500l,7
12954,fiat,500l mpw,5
12955,fiat,500l mpw,7
12980,fiat,barchetta,2
12982,fiat,brava,5
13004,fiat,brava,4
13009,fiat,bravo,5
13069,fiat,cinquecento,4
13070,fiat,cinquecento,5
13073,fiat,coupe,4
13076,fiat,coupe,5
13078,fiat,croma,5
13123,fiat,grande punto,4
13124,fiat,grande punto,5
13186,fiat,idea,5
13200,fiat,marea,5
13260,fiat,multipla,6
13302,fiat,punto,5
13492,fiat,punto evo,5
13525,fiat,scudo,5
13531,fiat,scudo,8
13535,fiat,scudo,6
13536,fiat,scudo,9
13555,fiat,sedici,5
13563,fiat,seicento,5
13577,fiat,stilo,5
13630,fiat,ulysse,7
13638,fiat,ulysse,6
13644,fiat,ulysse,5
13647,fiat,ulysse,8
13654,ford,ecosport,5
13711,ford,edge,5
13729,ford,fiesta,5
13952,ford,focus,5
14270,ford,galaxy,7
14322,ford,grand tourneo connect,7
14326,ford,grand tourneo connect,5
14351,ford,ka,5
14363,ford,kuga,5
14583,ford,mondeo,5
14849,ford,mustang,4
14945,ford,puma,5
14963,ford,tourneo connect,5
14994,ford,tourneo courier,5
15002,ford,transit courier kombi,5
15005,ford,transit custom,5
15008,ford,cougar,4
15011,ford,escort,5
15195,ford,escort,4
15199,ford,explorer,5
15671,ford,focus,4
16631,ford,fusion,5
16773,ford,galaxy,6
16786,ford,ka,4
16868,ford,maverick,5
16871,ford,maverick,7
17774,ford,probe,4
17776,ford,puma,4
17783,ford,scorpio,5
17841,ford,streetka,2
17846,honda,civic,5
17871,honda,civic,4
17899,honda,e,4
17901,honda,jazz,5
17905,honda,nsx,2
17906,honda,accord,5
18124,honda,accord,4
18748,honda,concerto,5
18754,honda,crx,5
18760,honda,insight,5
18770,honda,insight,2
18848,honda,legend,5
18855,honda,logo,5
18865,honda,prelude,4
18881,honda,s2000,2
18885,honda,shuttle,7
18887,honda,shuttle,6
18889,honda,stream,5
18890,honda,stream,7
18893,hummer,h2,5
18894,hummer,h2,7
18896,hummer,h3,5
18902,hyundai,i10,5
18917,hyundai,i20,5
18975,hyundai,i30,5
19067,hyundai,i40,5
19130,hyundai,i800,8
19141,hyundai,ioniq,5
19152,hyundai,ioniq electric,5
19156,hyundai,ix20,5
19185,hyundai,kona,5
19204,hyundai,kona electric,5
19212,hyundai,santa fe,7
19220,hyundai,tucson,5
19287,hyundai,accent,5
19289,hyundai,accent,4
19329,hyundai,amica,4
19333,hyundai,amica,5
19337,hyundai,atoz,4
19344,hyundai,coupe,4
19364,hyundai,coupe,5
19377,hyundai,elantra,5
19391,hyundai,genesis,5
19392,hyundai,getz,5
19421,hyundai,grandeur,5
19428,hyundai,i10,4
19677,hyundai,ix35,5
19731,hyundai,lantra,5
19748,hyundai,matrix,5
19769,hyundai,santa fe,5
19849,hyundai,sonata,5
19872,hyundai,terracan,5
19876,hyundai,trajet,7
19887,hyundai,trajet,5
19908,hyundai,veloster,4
19919,hyundai,xg30,5
19920,infiniti,q30,5
20026,infiniti,q50,5
20072,infiniti,qx30,5
20082,infiniti,ex,5
20097,infiniti,fx,5
20131,infiniti,g,4
20156,infiniti,g,5
20178,infiniti,m,5
20207,infiniti,q60,4
20213,invicta,s1,2
20214,isuzu,trooper,5
20222,isuzu,trooper,7
20266,jaguar,xe,5
20314,jaguar,xe,4
20342,jaguar,xf,5
20426,jaguar,xj,5
20619,jaguar,xjs,4
20623,jaguar,xjsc,4
20627,jaguar,xk,4
20645,jaguar,xk,5
20653,jaguar,xk8,4
20681,jeep,cherokee,5
20707,jeep,compass,5
20725,jeep,grand cherokee,5
20744,jeep,renegade,5
20796,jeep,wrangler,4
20797,jeep,wrangler,5
20857,jeep,commander,7
20910,jeep,patriot,5
20985,jensen,sv8,2
20986,kia,carens,7
21010,kia,ceed,5
21044,kia,niro,5
21055,kia,optima,5
21078,kia,picanto,5
21079,kia,picanto,4
21112,kia,proceed,5
21143,kia,rio,5
21160,kia,sorento,7
21177,kia,soul,5
21209,kia,soul ev,5
21211,kia,sportage,5
21283,kia,stinger,5
21289,kia,stonic,5
21303,kia,venga,5
21339,kia,xceed,5
21350,kia,carens,5
21374,kia,carens,6
